정지용 시집 : 시인, 시 문학, 지용, 발표, 작품, 가톨릭
중소기업 지원 재정사업 성과평가 : 창업, 부가가치, 시사점 참고 문헌, 지우, 매칭, 회귀
고등 예비과정 한국사(2021) : 조선, 동아시아, 스마트폰, 일본, 대한민국 정부 수립, 사회
비주얼 스토리 : 영화, 애니메이션, 스토리텔링, 영상, 시퀀스, 픽사
어느 시골 신부의 일기 : 무신론, 본당, 가톨릭, 마을, 알베르 카뮈, 작품
마리아의 비밀 : 양장, 예수, 성모, 필사본, 수녀, 순례
세상을 읽는 새로운 언어, 빅데이터 : 경제전망, 인공지능, 서울대, 강의, 인공지능 시대, 화폐
말습관 트레이닝 : 대화, 아나운서, 해법, 역지사지, 지침서, 상황
애드호키즘 : 애드, 이즘, 다원주의, 위생 설비, 감수성, 아랍
초단기 다이아몬드 되는 10가지 비법 : 마케팅, 유튜브, 네트워크, 사업자, 이노베이션, 직급
반편성 배치고사 기출문제 초등 6학년(2017) 
무기 바이블 : 군사, 폭격기, 전투기, 국방, 아파치, 보병
위폐범들 : 소설, 거짓, 동성애, 표류, 마지막 작품, 로라
건강보험 보장성 강화 정책의 효과분석 : 보건, 정부 간행물, 문재인, 시사점 참고 문헌, 특례, 케어
기층문화와 민족주의 : 파라과이, 라틴, 아메리카, 페르난도, 포르투갈, 문화
고등 수학(상)(2020) : 강남, 방정식, 내신 시험, 학군, 특목고, 다항식
사진 이미지의 진실과 거짓 : 시각 예술, 예술 철학, 본질, 문화 이론, 담론, 라캉
해피 반편성 배치고사 대비문제 초등 6학년(2017)(8절) 
슈퍼 에이전트 : 스캇, 몬스터, 메이저, 협상 전략, 박찬호, 크리스마스
무지의 구름 : 사랑, 관상, 가톨릭, 일반인, 은총, 의지
동시대 이후 : 시각 예술, 비평, 고소, 주례사, 어게인, 인터내셔널
영국 귀족의 생활 : 하우스, 런던, 캐슬, 레스터, 스펜서, 노블레스
레 미제라블. 1 : 세계고전문학, 역사 소설, 발장, 프랑스소설, 뮤지컬, 세기
이주민의 사회통합을 위한 지역사회 참여현황과 증진방안 : 자녀 교육, 소결, 문헌 연구, 심층 면접, 서면, 가족 관계
무기 바이블. 2 : 폭격기, 첨단무기, 항공모함, 헬기, 아파치, 미사일
마케팅 첫 키스 : 유튜브, 마케팅전략, 인스타그램, 코로나, 포토샵, 회사원
고등 수학(상)(2020) : 방정식, 다항식, 부등식, 나머지 정리, 인수 분해, 문항 유형
신호와 소음 : 경제전망, 주식, 미래예측, 예측, 통계학, 전염병
배리어프리 영상제작론 : 작법, 자막, 시각 장애인, 시각 장애, 방송법, 비장 애인
반편성 배치고사 초등 6학년(예비중)(2017) 
한국미술사를 보다. 1: 회화사 조각사 도자사 : 도자, 서양 미술사, 미술품, 화보, 분청사기, 지장보살
주노 신부 장개갔다네 : 수필집, 사목, 바오로, 본당, 장계, 전북
레닌의 유산: 진리로 나아갈 권리 : 마르크스, 러시아, 스페이스, 데리다, 케인스, 촘스키
다문화사회정책 거버넌스 현황과 미래지향적 발전방안 : 이주노 동자, 집주, 히로시마, 집행 기관, 위탁, 오사카
레 미제라블. 4 : 역사 소설, 발장, 뮤지컬, 세기, 작품, 속죄
세상에서 가장 쉬운 회의 퍼실리테이션 : 스토리텔링, 직장인, 아오이, 아버지, 여주인공, 엉망진창
Amway(암웨이) 사업 제대로 알아보기 시작하기 해내기 : 재테크, 아이콘, 스피치, 플랜, 경제 위기, 제품
군사학개론 : 국가 안보, 국방, 국제 정치학, 국가 이익, 양상, 인공위성
오리지널스 : 경제학, 오리지널, 아이디어, 스티브 잡스, 에이브러햄, 인적
고등 수학(하)(2021) : 모의고사, 유리함수, 유형, 집합, 필수 예제, 순열
미러리스 카메라 무작정 따라하기 : 레시피, 프레임, 디지털 사진, 풍경 사진, 조리개, 구도
후회에서 벗어나기 : 기도, 치유, 묵상, 고통, 야고보, 하느님
여성폭력 검찰 통계분석. 2: 디지털 성폭력범죄, 성폭력 무고죄를 중심으로(2019) : 정부 간행물, 시사점, 문헌, 부록, 서론, 결론
다음 새로운 백만장자들 : 경제전망, 마케팅, 니스, 판매, 노화, 차세대
여자의 일생 : 단편 소설, 장편소설, 인간 삶, 서정, 완결, 염세주의
Best(베스트) 유머 : 요즘, 최신, 선택, 모음, 수록
사진으로 들어간 사람들 : 최승희, 퓰리처, 인천 상륙작전, 노르망디, 모던, 기관차
축제의 원칙 : 콘텐츠, 희열, 딜레마, 창조, 관광, 마구잡이
고등 수학(상)(2020) : 방정식, 전국연합, 다항식, 부등식, 나머지 정리, 학교 내신
힘든 시대를 위한 좋은 경제학 : 인공지능, 불평등, 가난, 경제학자, 의문, 래퍼
전쟁론(On War) : 국가 안보, 경제 전쟁, 군사력, 테러리즘, 국가 이익, 마오쩌둥
영업의 신 : 세일즈, 조직, 수급, 챔피언, 보험업, 보험 상품
민족의 사진첩 I:민족의심장 : 상품, 풍습, 조선 시대, 부제, 풍물, 당시
배신당한 유언들 : 악보, 문학 전집, 작품 속, 르네 마그리트, 망자, 권리
쇼펜하우어 이기는 대화법 38 : 법칙, 내라, 논쟁, 손자병법, 토론, 상대
원복 : 영성, 크레, 에로스, 예술가, 패러다임, 비자
한국의 성인지 통계(2019) : 보건, 정부 간행물, 사회 참여, 보육, 용어 해설, 국제 비교
고등 국어의 기술. 0(2020) : 스토리텔링, 서술자, 희곡, 수능, 문학 비평, 기초
바그너 영원한 신화 : 피날레, 작곡, 예술 철학, 트리스탄, 오페라, 권모술수
지략 : 리더십, 전쟁, 손자병법, 프레임워크, 군사력, 승리
코로나 쇼크 이후 세계의 변화 : 경제전망, 주식 시장, 분열, 바이러스, 세계경제, 주가
마케터를 위한 상표상식 : 스타트업, 비즈니스, 마케팅, 상품, 상표법, 변리사
민족의 사진첩 III:민족의전통 : 왕가, 무당, 복식, 채색, 전차, 교통수단
잃어버린 시간을 찾아서. 6: 게르망트 쪽. 2 : 세계고전문학, 죽음, 화자, 프랑스소설, 환멸, 할머니
교부들의 성경 주해 구약성경. 1: 창세기 1-11장 : 그리스도교, 에녹, 주해, 아브라함, 설교, 신학
치명적 자만 : 노벨 경제학, 사회주의, 오류, 본성, 진화, 기원
생각 좀 하고 말해줄래? : 대화법, 화술, 웹툰, 넷플릭스, 브릭스, 카카오
고등 수학(상)(2020) : 방정식, 다항식, 부등식, 나머지 정리, 인수 분해, 복소수
서양음악사. 2 : 관현악, 현대 음악, 현악, 드뷔시, 로시니, 하이든
병원 마케팅 닥터송 : 차별, 경영, 성공, 이제, 속임수, 진행
전쟁의 기원 : 전쟁사, 아시리아, 페르시아, 고대, 구석기 시대, 알렉산더 대왕
옛 그림엽서 : 엽서, 파고다, 노점, 민초, 장안, 개화기
바보아저씨의 경제 이야기 : 직장인, 경제상식, 사회 초년생, 증여, 자영업, 브런치
교부들의 성경 주해 구약성경. 14: 열두 소예언서 : 그리스도교, 설교, 호세아, 신약성경, 유다, 메시아
잃어버린 시간을 찾아서. 8: 소돔과 고모라. 2 : 세계고전문학, 동성애, 여성, 사랑, 프랑스소설, 동성애자
ISBP 공식번역 및 해설서 : 용선, 원산지, 선하증권, 정책 수행 과정, 환어음, 철도
유머가 능력이다 : 인간관계, 정주영, 레이건, 개그, 루스벨트, 에이브러햄
고등 과학탐구영역 지구과학1(2020)(2021 수능대비) : 실전 모의고사, 봉투 모의고사, 서울, 구조론, 지질 시대, 모의고사 시리즈
밥장, 몰스킨에 쓰고 그리다 : 일러스트레이터, 한정판, 스티커, 기록, 포장지, 배지
민족의 사진첩. 4 : 개화기의 생활과 풍속 : 파고다, 엽서, 풍속화, 노점, 장안, 청계천
사드의 모든 것 : 한국 사회, 이명박, 트럼프, 보복, 북 핵 문제, 김대중
스킨 인 더 게임(Skin in the Game) : 스완, 블랙, 리스크, 행동, 완결, 책임
스페이스 브랜딩 : 비즈니스, 프라다, 공간, 온라인, 오프라인, 몬스터
중학 영어 중3-2 중간 기출문제집(천재 정사열)(2016) 
일본인 이야기. 2: 진보 혹은 퇴보의 시대 : 의학, 일본, 에도 시대, 해부학, 일본사, 일본문화사
하느님을 기다리는 시간 : 그리스도인, 니체, 성경 이야기, 신앙, 무신론, 신학
13의 비밀(미스테리 베스트 6) : 소설, 추리소설, 모리스 르블랑, 범죄자, 추리 기법, 경감
질문지능 : 성공, 프로토타입, 잡스, 코닥, 스티브, 가정교육
경성도시계획조사서 : 법령, 정부 간행물, 구역, 구획, 사업, 공영
본격 한중일 세계사. 9: 블러디 선샤인 신미양요 : 역사만화, 조선, 일본, 동아시아, 동양사, 샤인
사진 그후 : 벤야민, 미학자, 픽셀, 하이퍼텍스트, 디지털 혁명, 보들레르
조희창의 에센셜 클래식 : 악보, 음악사, 음악 세계, 마에스트로, 연주자, 마리아
남북 분단영화의 감정구조 : 남북한, 정서, 소재, 경향, 사료, 시대
카피캣 마케팅 101 : 마케팅전략, 직장 생활, 기하급수, 사업, 지렛대, 대금
고등 영어 고1 기출 전국연합 3년간 모의고사(2020) : 특별 부록, 학년도, 수능, 최근 경향 반영, 학습, 영역
신이 없는 세상 : 바오로, 신앙, 무신론, 그리스도교, 리크, 프리드리히 니체
영문국제계약해설 : 금융, 거래, 계약법, 계약서, 플랜트, 프랜차이즈
작품논문 작성법 : 조형, 논리, 프리젠테이션, 구현, 단계, 가치
운하의 소녀 : 청소년 소설, 상처, 사라, 어른, 영혼, 성 문제
일본인 이야기. 1: 전쟁과 바다 : 일본, 노부나가, 일본사, 오다, 일본문화사, 네덜란드
성중독 회복을 향한 첫걸음 : 중독자, 후원자, 정책 수행 과정, 침착, 기도, 피드백
고등 수학1(2021) : 삼각함수, 내신, 로그 함수, 수능, 지수 함수, 등비수열
레미제라블 세트 : 소설, 죽음, 사랑, 장발 장, 종달새, 도둑
굿 퀘스천(GOOD QUESTION) : 깨달음, 일본, 자녀 교육, 질문, 피타고라스, 코칭
노동의 시대는 끝났다 : 인공지능, 불평등, 실업, 평등, 일자리, 첨단 기술
국력이란 무엇인가 : 군사, 연성, 경성, 국정, 제국주의, 외교
저우언라이 평전 : 상하이, 중국, 중국역사인물, 중국근현대사, 소비에트, 현대중국
공직선거법 벌칙해설 : 벽보, 정부 간행물, 사무관리, 공무, 수인, 성명
영혼의 위대함 : 하느님, 불멸, 철학사, 관상, 진리, 독백
고리오 영감 절대의 탐구 : 소설, 광기, 화학자, 사교계, 마르그리트, 황금
퓨처홈 : 경제전망, 스마트, 연결, 기기, 사고방식, 디바이스
노 브랜드 시대의 브랜드 전략 : 상품, 넷플릭스, 플랫폼, 유통, 제조사, 온라인
시크릿파일 국정원 : 국가 안보, 한국안보, 이명박, 박근혜, 정보 기관, 탈북자
내 작은 회사 시작하기 : 창업, 크리에이터, 아모레, 아이디어, 예술경영, 소자본
악의 꽃 파리의 우울 : 시집, 시인, 산문시, 소네트, 욕정, 상징주의
명나라의 임진전쟁. 1: 출정 전야 : 조선, 상주, 진주, 명령, 중국, 평양
나를 울린 한국전쟁 100장면 : 전상국, 휴전, 이호철, 미군, 종군, 기와
직장인의 말연습 : 대화법, 화술, 직원, 동료, 상사, 업무
기본 수학의 정석 수학1 : 삼각함수, 로그 함수, 등비수열, 등차수열, 고등 학교, 지수 함수
클라우스 슈밥의 제4차 산업혁명 더 넥스트(The Next) : 경제전망, 인공지능, 블록체인, 세계경제포럼, 증강현실, 가상현실
북녘 사람들 : 북한 사람, 음악사, 심청전, 다큐멘터리, 물건, 신기원
보바리 부인 순박한 마음 : 세계고전문학, 시골, 작품, 프랑스소설, 사실주의, 프랑스고전
메이지 유신 : 일본, 헌법, 막부, 홋카이도, 운동, 오키나와
네트워크 마케팅은 트렌드다 : 직업, 유레카, 평생직장, 고객 관리, 고령 사회, 평생
부자의 그릇 : 부동산 투자, 신용, 경제이야기, 배트, 주먹밥, 오너
한국의 통화정책 : 중앙은행, 거시경제, 운영 체제, 금리, 인플레이션, 환율
디자인 스튜디오 독립기 : 디자이너, 프로파간다, 스트라이크, 경영 철학, 창업 자금, 투자 유치
고등 영어 고1 전국연합학력평가 12회(2021) : 모의고사, 단어장, 기출 어휘, 수능 대비, 수능 기출 문제, 리뷰
강한 이스라엘 군대의 비밀 : 전투기, 안보, 자폐증, 병역 거부, 라비, 아이언
도시는 왜 불평등한가 : 스타트업, 기술직, 빈부격차, 피케, 도시화, 교량
우리가 본 한국전쟁: 국방부 정훈국 사진대 대장의 종군 사진일기 1950-195 : 인천 상륙작전, 평양, 기자, 육사, 민간인, 객관성
한일국교정상화 연구 : 국사편찬위원회, 국제 정치, 증여, 밀실, 역사 인식, 불협화음
고등 수학(상)(2020) : 연립 방정식, 내신, 유형 학습, 다항식, 부등식, 나머지 정리
모든 대화는 심리다 : 인간관계, 심리학, 대화법, 관계, 방어기제, 오해
여자의 일생 / 벨 아미 : 장편소설, 염세주의, 환멸, 브라스, 저널리즘, 절대 고독
세일즈 클로징 : 유머, 세일즈맨, 성공, 테크닉, 고객 관리, 목회
명나라의 임진전쟁. 2: 평양 수복 : 조선, 진주, 서신, 임진왜란, 징비록, 유성룡
강낭콩 : 영화제, 영화, 상품, 노부인, 금붕어, 에드
가난한 컬렉터가 훌륭한 작품을 사는 법 : 현대 미술, 맨몸, 컬렉션, 프린스, 미술가, 초보
군사력 건설과 무기체계론 : 국가 안보, 국방, 정찰, 강대국, 군사학, 화력
이형록 사진집 : 주역, 리얼리즘, 사진사, 촬영, 살롱, 조형
청소년을 위한 대한민국 국가지도집 : 균형 발전, 사명, 영토, 고지도, 위상, 교육 교재
동아시아를 발견하다 : 아시아, 만주, 한국 중국 일본, 에도, 현대, 대전
금융 위기 템플릿 : 경제전망, 투자자, 파트, 금융위기, 바이마르, 부채
휴먼 제14집 : 거짓, 인간 중심, 노동, 새싹, 작품집, 컬렉션
전쟁의 심리학 : 심리학, 경제, 독일, 세계 대전, 망상, 식민지
2030 새로운 미래가 온다 : 인공지능, 창업, 프레임, 자원 개발, 제조업, 리스크
고등 국어영역 국어(2020)(2022 수능대비) : 핵심 개념, 독해, 작문, 개념어, 화법, 제시
국화와 칼 : 일본 문화, 당시 일본, 일본사, 일본인, 김윤식, 문화인류학
북아메리카 인디언 : 아파치, 유마, 원주민, 카토, 아파, 유키
전략론 : 히틀러, 군사, 군사전략, 기원전, 군사학, 페르시아
결핍의 경제학 : 인간 심리, 심리학, 사탕수수, 프린스턴, 공공 정책, 작물
예수는 어떤 공동체를 원했나 : 그리스도인, 철학, 이방인, 이사야, 가톨릭 신자, 기도문
시정 주요분야 컨설팅 용역 보고서(SH공사)(2014) : 맥킨지, 건전, 회계 법인, 개선 과제, 임대, 원가
국립중앙박물관 100선 : 화엄경, 월광, 청화, 보살, 시바, 불자
구토/말 : 죽음, 실존 철학, 실존주의, 서재, 존재, 인간
비대면 비즈니스 트렌드 : 코로나, 연결, 일상 생활, 전달, 택트, 접촉
악마의 대화법 : 논리학, 언어 논리, 논증, 설득, 마거릿, 기술
오래된 미래도시, 베이징 : 중국, 서태후, 만주, 쿠빌라이, 이방원, 모택동
역전 풍경 : 작가, 프레데릭, 서울역, 부근, 약력, 순간
그리스도인의 신앙생활 : 성령, 외아들, 그리스도, 그리스도교, 기도 생활, 가톨릭교회
처음 읽는 중국사 : 한국사, 세계사, 동아시아, 중화민국, 삼국지, 춘추
김정은 체제의 북한 전쟁전략 : 정치, 안보, 군사 전략, 미사일, 한반도, 국제 사회
결정판 아르센 뤼팽 전집. 1 : 추리소설, 프랑스소설, 귀수, 괴도, 셜록 홈스, 삽화
만화 경제 상식사전 : 재테크, 주식투자, 코스닥, 경제이야기, 디플레이션, 최신 이슈
끌리는 컨셉 만들기 : 마케팅, 논어, 소비자, 빌딩, 변증, 제품 개발
고등 수학1(2021) : 삼각함수, 로그 함수, 지수 함수, 수능 기출 문제, 등비수열, 등차수열
나는 서울시민이다 : 공모전, 발달 장애, 바리스타, 밥상머리, 현수막, 키드
무지한 자들과 대화하는 법 : 도널드 트럼프, 일본어, 문구, 베이직, 장악, 무대
디자인 컨설팅 : 디자이너, 고객, 프로세스, 토픽, 제품 디자인, 퓨즈
내 마음속의 한국 : 강원도, 아카이브, 제주도, 전라도, 촬영, 부산
슬픈 중국: 인민민주독재 1948-1964 : 마오쩌둥, 중국사, 홀로코스트, 중국역사, 인민, 중국근현대사
가톨릭 예비신자 교리서(새 성경과 가톨릭 교회 교리서에 따른) : 그리스도인, 복음, 기도문, 회개, 예수 그리스도, 예배
수축사회 : 제로섬, 경제이야기, 디플레이션, 경제 위기, 패권, 호황
미래의 이브 : 고전, 과학 소설, 안드로이드, 환상문학, 인조인간, 애인
롬멜원수 : 장교, 회고록, 군인, 2차세계대전, 군사학, 군사
요즘 애들에게 팝니다 : 마케팅, 세대, 밀레, 니얼, 광고, 아재
고등 수학(상) 684제(2020) : 내신 문제, 방정식, 다항식, 나머지 정리, 수능, 학교 시험
아버지의 그늘 : 작가, 눈물, 이광수, 사진가, 후기, 장소
서울, 테마 산책길. 1 : 현충원, 하늘길, 채석장, 샘터, 서초, 서대문
헤이세이 일본의 잃어버린 30년 : 오키나와, 일본문화, 일본사회, 후쿠시마, 포퓰리즘, 일본근현대사
쓸데없이, 머엉 : 화집, 화초, 독백, 단팥빵, 슬로, 외계인
어려운 질문 애매한 질문 중요한 질문 어떻게 대답해야 좋을까 : 직장인, 유시민, 대화법, 유니버스, 소크라테스, 암스트롱
인간의 대지 : 세계고전문학, 관계, 인생, 야간 비행, 프랑스소설, 신작 소설
성경(국판 전단 금장색인지퍼) (BA5 AI) (250040) : 신약 성경, 구약 성경, 느헤미야, 야고보, 여호수아, 아모스서
걸프전 대전차전(상) : 전쟁사, 이라크, 군사, 부사관, 밀리터리, 전차
고등 화학1 자율학습시 비상구 완자로 53(2020) : 원소, 분자, 주기율표, 원자 모형, 반응식, 수학 능력 시험 준비
중도입국 청소년 실태 및 자립지원 방안 연구 : 보호자, 조사 개요, 로드맵, 면접, 호주, 캐나다
모두 거짓말을 한다 : 경제전망, 데이터 분석, 빅 데이터, 빅 데이터 분석, 사회과학, 디지털
사할린의 한인들 : 애환, 무가, 연행, 홋카이도, 정통, 카라
코로나가 시장을 바꾼다 : COVID-19, 마케팅, 트렌드, 소비, 노멀, 코로나19
중동은 왜 싸우는가? : 이슬람 제국, 이란, 아랍, 사우디아라비아, 팔레스타인, 시리아
협상이 이렇게 유용할 줄이야 : 비즈니스, 솔루션, 일러스트, 계약, 커뮤니케이션, 신한은행
토기.청자 1(KOREAN ART BOOK 2) : 미술사, 도자, 자퇴, 기마, 문고판, 점토
여인들의 행복 백화점(리커버 에디션) : 마케팅 기법, 목로주점, 소설 안, 직원, 판매원, 카르
조선 의용군의 눈물 : 사진, 산문
걸프전 대전차전(하) : 전쟁사, 이라크, 군사, 부사관, 밀리터리, 전차
성경(4*6판 2단 금장색인)(무지퍼)(BB6 BH) (250130) : 신약 성경, 구약 성경, 느헤미야, 야고보, 여호수아, 아모스서
청소년의 건강권 보장을 위한 정책방안 연구. 1: 학생 청소년의 건강불평등 실태 분석 : 정부 간행물, 결정 요인, 설정, 시사점, 요약, 제언
너를 영어1등급으로 만들어주마 : 수능 영어, 구문 독해, 베이스, 비밀 노트, 문장 삽입, 시작법
디지털 트랜스포메이션: 뉴호라이즌 : 코로나, 비즈니스, 컨트롤러, 스마트, 가구, 우주선
아틀라스 중국사 : 동아시아, 만주족, 건륭제, 춘추, 중화민국, 몽골
한 덩이 고기도 루이비통처럼 팔아라 : 마케팅전략, 사우디아라비아, 브랜드, 소피아, 아이템, 가격
어떻게 말할까 : 감정, 듣기, 반사, 갈등, 대화법, 설교
토기.청자 2(KOREAN ART BOOK 3) : 미술, 미술사, 도자, 자퇴, 진사, 백자
프라하 거리에서 울고 다니는 여자 : 소설, 작가, 숨소리, 언어, 침묵, 강둑
유신의 추억 : 강원도, 전문 서적, 1970년대, 일본제국주의, 충청도, 청계천
성경(46배판)(전단)(금장)(색인)(BB5-AH)(250062) : 느헤미야, 야고보, 구약성경, 신약성경, 여호수아, 아모스서
8월의 폭풍 : 만주, 소련, 러시아어, 일본군, 전역, 세계 대전
건축물 유지관리 및 해체 등에 관한 법령 정비 방안 : 일본, 정부 간행물, 해외, 제안, 운영, 제도
제4차 산업혁명 : 경제전망, 인공지능, 미래예측, 데이터 분석, 빅 데이터, 물리학
지금은 중국을 읽을 시간. 1 : 삼국지, 베이징, 진시황제, 드론, 상하이, 올림픽
10년후의 비밀 : 마케팅, 비즈니스, 네트워크, 사회 생활, 사업, 현대인
백자.분청사기 1(KOREAN ART BOOK 4) : 미술사, 국보, 청화, 유교 문화, 도자, 변주곡
재미있고 신나는 웃음백서 : 인생, 마법, 성공, 워드, 전염병, 성형 수술
헬로 코리아 : 강원도, 국내사진집, 포병, 징집, 측량, 춘천
자기 자신 잘 대하기 : 성경, 심리학, 자비, 호통, 영성, 신심
고등 주혜연의 해석공식 기출구문 3.0(2021)(2022 수능대비) 
디엔비엔푸 : 베트남, 독립 전쟁, 회고록, 전역, 여장, 지휘관
나귀 가죽 : 욕망, 에너지, 법학 공부, 개별 작품, 작품 제목, 금화
민관협력사업을 통한 자립형 도시재생 방안 연구 : 부동산, 재고, 소결, 인구 감소, 법제, 유흥
베이징 특파원 중국 문화를 말하다 : 한류, 측천무후, 진시황, 노블레스, 중국인, 국민당
욕망으로부터의 자유 : 금융, 연금술사, 인생, 자세, 불치병, 군상
백자.분청사기 2(KOREAN ART BOOK 5) : 미술, 문방구, 유교 사상, 유교 문화, 도자, 변주곡
웃으면서 할 말 다하는 사람들의 비밀 : 심리학, 대화법, 심리, 디드로, 김남주, 플라시보
질문으로 시작하는 초대 : 마케팅, 비즈니스, 대화, 네트워크, 사업자, 회원 가입
열공 중1-1 기말고사 기출문제집 세트(2012) 
포항 송도 : 철학자, 공대, 굴뚝, 작품집, 백남준, 해녀
고등 화학1(2021) : 수능 기출 문제, 루이스, 대단원, 문제 해결 비법, 실제 학교 시험, 반응식
적과 흑. 1 : 세계고전문학, 소설 속, 프랑스소설, 낭만주의, 사실주의, 프랑스고전
비핵화의 정치 : 핵무기, 북한, 포기, 모델, 이란, 국가
요한 묵시록 바르게 읽기 : 성경, 위로, 바빌론, 심판, 예수 그리스도, 어린양
서울시 민간투자사업 추진단계별 업무 매뉴얼 : 정부 간행물, 제안서, 연구 개요, 협약, 협상, 공사
어서 와, 영업은 처음이지? : 성공, 세일즈맨, 연봉, 세일즈, 시스템, 고객
본격 한중일 세계사. 8: 막부의 멸망과 무진전쟁 : 역사만화, 동아시아, 일본, 도쿠가와, 이대로, 동양사
애오개 : 의자, 한겨레, 마을, 상처, 주사위, 송이
최진기의 경제상식 오늘부터 1일 : 투자자, 주식 시장, 경제이야기, 한국 경제, 채권 시장, 디플레이션
민화 2(KOREAN ART BOOK 7) : 미술, 미술사, 호랑이, 인물화, 가천, 설화
말 한마디로 당신을 안아줄 수 있다면 : 마음, 긍정, 치유, 미국, 대학 강의, 온기
고등 수학2(2021) : 내신, 도함수, 수능, 다항 함수, 미분 계수, 부정적분
한국물류유통연감(2020) : 정부 간행물, 관련 뉴스, 관련 업체, 관련 법률, 추세, 이슈
루이 랑베르 : 기숙, 광기, 작품, 천재, 통일, 정신
고독 속의 명상 : 복음, 하느님, 말씀, 토마스, 영성, 불경
설득의 12가지 법칙 : 화술, 트렌드, 몽마르트르, 화법, 프레젠테이션, 브라보
21세기 초국가적 안보위협 : 안심, 학술, 한국안보, 일반 국민, 국가안보, 공기
2040 디바이디드 : 인공지능, 과학, 일자리, 미래, 4차산업혁명, 미래사회
천년의 그림 여행 : 화가, 미술, 화집, 서양 미술사, 경도, 지도
기본 수학의 정석 수학(하) : 방정식, 유리함수, 합성함수, 다항 함수, 순열, 그래프
인공지능 산업분석을 통한 발전과 변화되는 삶 혁신기술개발 미래전략분석 : 빅 데이터, 스마트 시티, 정부 간행물, 증강현실, 클라우드, 보안
루이 랑베르 : 기숙, 광기, 작품, 천재, 통일, 정신 병리학
예수마음기도 영성수련 : 복음, 내면, 기도문, 하느님, 상처, 회심
제프리무어의 캐즘마케팅 : 마케팅 전략, 노르망디, 오라클, 침투, 실용주의, 스티브 잡스
아틀라스 일본사 : 한국사, 동양사, 노부나가, 일본역사, 일본군, 오다
서울 십자가 
파이어족이 온다 : 재테크, 경제, 자유, 행복, 라이프스타일, 저축
말이 바뀌면 삶이 바뀐다 : 공무원, 대화, 프레젠테이션, 화법, 직장, 한국어
한국 고미술의 이해(대학교양총서 7) : 미술, 건축, 불교, 목조, 삼국 시대, 도자기
수학2(2010) : 삼각함수, 도함수, 미분법, 함수, 부등식, 미분 계수
한국식품산업연감(2021) : 정부 간행물, 공기업, 관련 뉴스, 관련 법률, 제조, 동향
코리안드림(센테니얼 에디션) : 패권, 북한, 세계 평화, 북핵, 시민 사회, 패권경쟁
모세오경 : 민수기, 레위기, 신명기, 창세기, 신학, 탈출기
학교에서 가르쳐주지 않는 일본사 : 조선, 에도 시대, 이에야스, 일본문화, 요미우리, 일본역사
성공하는 네트워커들의 7가지 습관 : 마케팅, 시너지, 네트워크, 사업가, 비전, 분별력
미크로메가스 캉디드 혹은 낙관주의 : 지식인, 외계인, 부조리, 토성, 종교, 인간
고등 한국사영역 한국사(2020)(2021 수능대비) : 조선 후기, 대한민국, 조선 유교 사회, 마스터, 유형, 학년도 수능
경제학 콘서트. 1 : 경영 전략, 중고차, 경제이야기, 경제 원리, 슈퍼마켓, 스타벅스
나의 다큐사진 분투기 : 분투, 신주쿠, 마오, 미아, 수상자, 청춘
어떻게 말할 것인가 : 대화법, 화술, 스토리텔링, 스티브, 잡스, 프레젠테이션
더 클래식 둘: 슈베르트에서 브람스까지 : 피아노, 녹턴, 쇼팽, 차이코프스키, 슈만, 음악 세계
1인가구 증가에 따른 주택정책 대응방안 연구 : 차별, 선행 연구 검토, 주거, 정부 간행물, 양상, 향후 과제
백선엽의 6.25 전쟁 징비록. 1 : 중공군, 인천 상륙작전, 장군, 맥아더, 김일성, 한자 성어
시서와 지혜서 : 구약성경, 욥기, 히브리, 시 문학, 신학, 그리스도교
태평양전쟁과 역사학 : 책임, 기억, 전향, 전쟁, 제2차세계대전, 일본근현대사
데이비드 아커의 브랜드 경영 : 레버리지, 아이덴티티, 핵심 전략, 사례 연구, 자산, 네이밍
마지막 숨결 : 미완성, 폭풍우, 시몬, 중사, 남자, 소설집
고등 과학탐구영역 화학1 봉투모의고사 5회분(2020)(2021 수능대비) : 한국사, 봉투 모의고사, 수학, 모의 평가, 학년도, 출시
대화의 심리학 : 대화법, 심리, 영업 사원, 아나운서, 운동 선수, 자존
디플레 전쟁 : 코로나, 경제학, COVID-19, 주식 시장, 쇼크, 투자법
상무주 가는 길 : 암자, 포토에세이, 크리스천, 사진집, 법정 스님, 가피
전복과 반전의 순간 Vol.1 : 통기타, 음악사, 찬미, 공화주의, 재즈, 베토벤
부동산시장 이슈 분석과 정책방안. 2 : 임차, 원인 분석, 선행 연구 검토, 시뮬레이션, 식별, 가구
예언서 : 모세 오경, 구약 성경, 성경 신학, 이사야, 이사야서, 예언자
백선엽의 6.25 전쟁 징비록. 2 : 낙동강, 미군, 육사, 육군, 장군, 아이젠하워
나는 왜 네트워크마케팅을 하는가 : 창업, 용자, 구전, 취업, 제조사, 방문판매
처음 읽는 일본사 : 조선, 동아시아, 히데요시, 일본문화, 오타쿠, 일본역사
미세레레. 1 : 스릴러, 살인사건, 목소리, 성가대, 서스펜스, 범죄 소설
마음을 이어 주는 말솜씨 : 화술, 어휘, 대화, 어법, 단어, 연극
고등 과학탐구영역 물리학1(2020)(2021 수능대비) : 연습 문제, 역학, 단어장, 학년도 수능, 이중성, 파동
나의 할머니, 오효순 : 치매, 임종, 교감, 카메라, 작가 노트, 기록
